MNEMONIQUE;Libelle type eq.;Code TOSCANE;Code TED
Ascenseur;Ascenseur;324;15
Ascenseur;Ascenseur;323;14
Ascenseur;Ascenseur;322;13
Ascenseur;Ascenseur;321;12
Ascenseur;Ascenseur;320;11
Ascenseur;Ascenseur;319;10
Ascenseur;Ascenseur;318;9
Ascenseur;Ascenseur;317;8
Ascenseur;Ascenseur;316;7
Ascenseur;Ascenseur;315;6
Ascenseur;Ascenseur;314;5
Ascenseur;Ascenseur;313;4
Ascenseur;Ascenseur;312;3
Ascenseur;Ascenseur;311;2
Ascenseur;Ascenseur;310;1
Ascenseur;Ascenseur;309;999999
Grille;Grille Motorisée;308;1008
Grille;Grille Motorisée;307;1007
Grille;Grille Motorisée;306;1006
Grille;Grille Motorisée;305;1005
Grille;Grille Motorisée;304;1004
Grille;Grille Motorisée;303;1003
Grille;Grille Motorisée;302;1002
Grille;Grille Motorisée;301;1001
Grille;Grille Motorisée;300;1000
Grille;Grille Motorisée;299;13
Grille;Grille Motorisée;298;12
Grille;Grille Motorisée;297;11
Grille;Grille Motorisée;296;10
Trottoir_Roulant;Trottoir Roulant;120;44
Trottoir_Roulant;Trottoir Roulant;119;43
Trottoir_Roulant;Trottoir Roulant;118;42
Trottoir_Roulant;Trottoir Roulant;117;41
Trottoir_Roulant;Trottoir Roulant;116;40
Trottoir_Roulant;Trottoir Roulant;115;39
Trottoir_Roulant;Trottoir Roulant;114;38
Trottoir_Roulant;Trottoir Roulant;113;37
Trottoir_Roulant;Trottoir Roulant;112;36
Trottoir_Roulant;Trottoir Roulant;111;35
Trottoir_Roulant;Trottoir Roulant;110;34
Trottoir_Roulant;Trottoir Roulant;109;33
Trottoir_Roulant;Trottoir Roulant;108;32
Trottoir_Roulant;Trottoir Roulant;107;31
Trottoir_Roulant;Trottoir Roulant;106;30
Trottoir_Roulant;Trottoir Roulant;105;29
Trottoir_Roulant;Trottoir Roulant;104;28
Trottoir_Roulant;Trottoir Roulant;103;27
Trottoir_Roulant;Trottoir Roulant;102;26
Trottoir_Roulant;Trottoir Roulant;101;25
Trottoir_Roulant;Trottoir Roulant;100;24
Trottoir_Roulant;Trottoir Roulant;99;23
Trottoir_Roulant;Trottoir Roulant;98;22
Trottoir_Roulant;Trottoir Roulant;88;12
Trottoir_Roulant;Trottoir Roulant;87;11
Trottoir_Roulant;Trottoir Roulant;86;10
Trottoir_Roulant;Trottoir Roulant;85;9
Trottoir_Roulant;Trottoir Roulant;84;8
Trottoir_Roulant;Trottoir Roulant;83;7
Trottoir_Roulant;Trottoir Roulant;82;6
Trottoir_Roulant;Trottoir Roulant;81;5
Trottoir_Roulant;Trottoir Roulant;80;4
Trottoir_Roulant;Trottoir Roulant;79;3
Trottoir_Roulant;Trottoir Roulant;78;2
Trottoir_Roulant;Trottoir Roulant;77;1
Trottoir_Roulant;Trottoir Roulant;76;999999
EM;Escalier Mécanique;75;1009
EM;Escalier Mécanique;74;1006
EM;Escalier Mécanique;73;1005
EM;Escalier Mécanique;72;1004
EM;Escalier Mécanique;71;1003
EM;Escalier Mécanique;70;1002
EM;Escalier Mécanique;69;1001
EM;Escalier Mécanique;68;1000
EM;Escalier Mécanique;67;67
EM;Escalier Mécanique;66;65
EM;Escalier Mécanique;65;64
EM;Escalier Mécanique;64;63
EM;Escalier Mécanique;63;62
EM;Escalier Mécanique;62;61
EM;Escalier Mécanique;61;60
EM;Escalier Mécanique;60;59
EM;Escalier Mécanique;59;58
EM;Escalier Mécanique;58;57
EM;Escalier Mécanique;57;56
EM;Escalier Mécanique;56;55
EM;Escalier Mécanique;55;54
EM;Escalier Mécanique;54;53
EM;Escalier Mécanique;53;52
EM;Escalier Mécanique;52;51
