NOM_LOGIQUE;LIBELLE;libelle long eq;NOM_STATION;libelle long station;MNEMONIQUE;Libelle (type eq.)
INGP-IMAG-00000000000004506107035-00-0G-IN-SA200;MIV_203;MIV_203 - Crimée;M-CRIMEE;Ligne 7 - Crimée;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004507107035-00-0G-IN-SA209;MIV_204;MIV_204 - Crimée;M-CRIMEE;Ligne 7 - Crimée;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004508107035-00-0G-IN-CR210;MIV_205;MIV_205 - Crimée;M-CRIMEE;Ligne 7 - Crimée;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004509109035-00-0G-IN-SA200;MIV_201;MIV_201 - Jasmin;M-JASMIN;Ligne 9 - Jasmin;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004516102069-00-0G-IN-SA200;MIV_201;MIV_201 - Villiers;M-VILLIERS;Ligne 3 - Villiers;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004517102069-00-0G-IN-CR203;MIV_202;MIV_202 - Villiers;M-VILLIERS;Ligne 3 - Villiers;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004518102069-00-0J-IN-QX032;MIV_203;MIV_203 - Villiers;M-VILLIERS;Ligne 3 - Villiers;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004519102069-00-0G-IN-CR220;MIV_204;MIV_204 - Villiers;M-VILLIERS;Ligne 3 - Villiers;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004520102069-00-0G-IN-CR220;MIV_205;MIV_205 - Villiers;M-VILLIERS;Ligne 3 - Villiers;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004521109073-00-0G-IN-SA200;MIV_201;MIV_201 - Saint-Ambroise;M-SAINT-AMBROISE;Ligne 9 - Saint-Ambroise;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004522109073-00-0G-IN-SA200;MIV_202;MIV_202 - Saint-Ambroise;M-SAINT-AMBROISE;Ligne 9 - Saint-Ambroise;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004523109073-00-0G-IN-CR210;MIV_203;MIV_203 - Saint-Ambroise;M-SAINT-AMBROISE;Ligne 9 - Saint-Ambroise;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004524109073-00-0G-IN-CR210;MIV_204;MIV_204 - Saint-Ambroise;M-SAINT-AMBROISE;Ligne 9 - Saint-Ambroise;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004525109073-00-0G-IN-CR215;MIV_205;MIV_205 - Saint-Ambroise;M-SAINT-AMBROISE;Ligne 9 - Saint-Ambroise;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004526109085-00-0G-IN-SA200;MIV_201;MIV_201 - Maraîchers;M-MARAICHERS;Ligne 9 - Maraîchers;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004529109083-00-0G-IN-CR201;MIV_201;MIV_201 - Buzenval;M-BUZENVAL;Ligne 9 - Buzenval;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004530109083-00-0G-IN-CR201;MIV_202;MIV_202 - Buzenval;M-BUZENVAL;Ligne 9 - Buzenval;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004533117037-00-0G-IN-SA200;MIV_201;MIV_201 - Bolivar;M-BOLIVAR;Ligne 7 - Bolivar;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004534106081-00-0G-IN-SA200;MIV_201;MIV_201 - Boissière;M-BOISSIERE;Ligne 6 - Boissière;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004535106081-00-0G-IN-CR203;MIV_202;MIV_202 - Boissière;M-BOISSIERE;Ligne 6 - Boissière;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004536106079-00-0G-IN-CR208;MIV_201;MIV_201 - Trocadéro;M-TROCADERO;Ligne 6 - Trocadéro;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004537106079-00-0G-IN-CR208;MIV_202;MIV_202 - Trocadéro;M-TROCADERO;Ligne 6 - Trocadéro;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004538106079-00-0G-IN-CR205;MIV_203;MIV_203 - Trocadéro;M-TROCADERO;Ligne 6 - Trocadéro;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004539106079-00-0G-IN-CR205;MIV_204;MIV_204 - Trocadéro;M-TROCADERO;Ligne 6 - Trocadéro;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004169105077-00-0G-IN-CR204;MIV_203;MIV_203 - Saint Marcel;M-SAINT-MARCEL;Ligne 5 - Saint Marcel;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004181146053-00-0G-IN-SA200;MIV_106;MIV_106 - Marne-la-Vallée Chessy;R-MARNE-LA-VALLEE - CHESS;RER A - Marne-la-Vallée Chessy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004182146053-00-0G-IN-SA200;MIV_107;MIV_107 - Marne-la-Vallée Chessy;R-MARNE-LA-VALLEE - CHESS;RER A - Marne-la-Vallée Chessy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004239106047-00-0G-IN-SA200;MIV_201;MIV_201 - Nationale;M-NATIONALE;Ligne 6 - Nationale;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004243107081-00-0G-IN-CR201;MIV_201;MIV_201 - Maison Blanche;M-MAISON BLANCHE;Ligne 7 - Maison Blanche;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004244107081-00-0G-IN-SA200;MIV_202;MIV_202 - Maison Blanche;M-MAISON BLANCHE;Ligne 7 - Maison Blanche;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004245107081-00-0G-IN-CR211;MIV_203;MIV_203 - Maison Blanche;M-MAISON BLANCHE;Ligne 7 - Maison Blanche;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004252107071-00-0G-IN-SA200;MIV_201;MIV_201 - Place Monge;M-PLACE MONGE;Ligne 7 - Place Monge;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000005185107071-00-0G-IN-CR209;MIV_202;MIV_202 - Place Monge;M-PLACE MONGE;Ligne 7 - Place Monge;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004257117035-00-0G-IN-SA200;MIV_201;MIV_201 - Buttes Chaumont;M-BUTTES-CHAUMONT;Ligne 7 - Buttes Chaumont;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004258117035-00-0G-IN-SA200;MIV_202;MIV_202 - Buttes Chaumont;M-BUTTES-CHAUMONT;Ligne 7 - Buttes Chaumont;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004259107037-00-0G-IN-SA200;MIV_201;MIV_201 - Riquet;M-RIQUET;Ligne 7 - Riquet;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004260107037-00-0G-IN-CR201;MIV_202;MIV_202 - Riquet;M-RIQUET;Ligne 7 - Riquet;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004261106055-00-0G-IN-SA200;MIV_201;MIV_201 - Saint Jacques;M-SAINT-JACQUES;Ligne 6 - Saint Jacques ;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004271137039-00-0G-IN-SA200;MIV_101;MIV_101 - Chatou Croissy;R-CHATOU - CROISSY;RER A - Chatou Croissy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004272137039-00-0G-IN-SA200;MIV_102;MIV_102 - Chatou Croissy;R-CHATOU - CROISSY;RER A - Chatou Croissy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004273137039-00-0G-IN-SA200;MIV_103;MIV_103 - Chatou Croissy;R-CHATOU - CROISSY;RER A - Chatou Croissy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004275137039-00-0G-IN-CR206;MIV_105;MIV_105 - Chatou Croissy;R-CHATOU - CROISSY;RER A - Chatou Croissy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004276137039-00-0G-IN-CR206;MIV_106;MIV_106 - Chatou Croissy;R-CHATOU - CROISSY;RER A - Chatou Croissy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004278137039-00-0G-IN-CR213;MIV_108;MIV_108 - Chatou Croissy;R-CHATOU - CROISSY;RER A - Chatou Croissy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004279137039-00-0G-IN-CR213;MIV_109;MIV_109 - Chatou Croissy;R-CHATOU - CROISSY;RER A - Chatou Croissy;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004281137039-00-0J-IN-QX001;MIV_111;MIV_111 - Chatou Croissy;R-CHATOU - CROISSY;RER A - Chatou Croissy;IMAGE_V4;Afficheur IMAGE V4
